route_long_name,route_short_name,service_id,hour_of_day,trips_per_hour
PROGRESS,134,2,23,6
PROGRESS,134,2,24,8
PROGRESS,134,2,25,4
PROGRESS,134,3,7,3
PROGRESS,134,3,8,8
PROGRESS,134,3,9,10
PROGRESS,134,3,10,9
PROGRESS,134,3,11,9
PROGRESS,134,3,12,10
PROGRESS,134,3,13,9
PROGRESS,134,3,14,9
PROGRESS,134,3,15,10
PROGRESS,134,3,16,9
PROGRESS,134,3,17,9
PROGRESS,134,3,18,8
PROGRESS,134,3,19,6
PROGRESS,134,3,20,8
PROGRESS,134,3,21,6
PROGRESS,134,3,22,8
PROGRESS,134,3,23,6
PROGRESS,134,3,24,6
PROGRESS,134,3,25,4
PROGRESS,134,4,7,3
PROGRESS,134,4,8,8
PROGRESS,134,4,9,10
PROGRESS,134,4,10,9
PROGRESS,134,4,11,9
PROGRESS,134,4,12,10
PROGRESS,134,4,13,9
PROGRESS,134,4,14,9
PROGRESS,134,4,15,10
PROGRESS,134,4,16,9
PROGRESS,134,4,17,9
PROGRESS,134,4,18,8
PROGRESS,134,4,19,6
PROGRESS,134,4,20,8
PROGRESS,134,4,21,6
PROGRESS,134,4,22,8
PROGRESS,134,4,23,6
PROGRESS,134,4,24,6
PROGRESS,134,4,25,4
GERRARD,135,1,5,3
GERRARD,135,1,6,8
GERRARD,135,1,7,8
GERRARD,135,1,8,6
GERRARD,135,1,9,7
GERRARD,135,1,10,8
GERRARD,135,1,11,8
GERRARD,135,1,12,6
GERRARD,135,1,13,7
GERRARD,135,1,14,8
GERRARD,135,1,15,6
GERRARD,135,1,16,6
GERRARD,135,1,17,6
GERRARD,135,1,18,6
GERRARD,135,1,19,8
GERRARD,135,1,20,8
GERRARD,135,1,21,6
GERRARD,135,1,22,6
GERRARD,135,1,23,8
GERRARD,135,1,24,8
GERRARD,135,1,25,7
GERRARD,135,1,26,1
GERRARD,135,2,6,5
GERRARD,135,2,7,6
GERRARD,135,2,8,6
GERRARD,135,2,9,6
GERRARD,135,2,10,6
GERRARD,135,2,11,6
GERRARD,135,2,12,6
GERRARD,135,2,13,8
GERRARD,135,2,14,8
GERRARD,135,2,15,6
GERRARD,135,2,16,6
GERRARD,135,2,17,8
GERRARD,135,2,18,8
GERRARD,135,2,19,6
GERRARD,135,2,20,6
GERRARD,135,2,21,6
GERRARD,135,2,22,6
GERRARD,135,2,23,6
GERRARD,135,2,24,6
GERRARD,135,2,25,3
GERRARD,135,3,7,1
GERRARD,135,3,8,7
GERRARD,135,3,9,8
GERRARD,135,3,10,8
GERRARD,135,3,11,8
GERRARD,135,3,12,8
GERRARD,135,3,13,6
GERRARD,135,3,14,6
GERRARD,135,3,15,8
GERRARD,135,3,16,8
GERRARD,135,3,17,6
GERRARD,135,3,18,6
GERRARD,135,3,19,8
GERRARD,135,3,20,8
GERRARD,135,3,21,8
GERRARD,135,3,22,8
GERRARD,135,3,23,8
GERRARD,135,3,24,8
GERRARD,135,3,25,5
GERRARD,135,4,6,7
GERRARD,135,4,7,8
GERRARD,135,4,8,8
GERRARD,135,4,9,8
GERRARD,135,4,10,8
GERRARD,135,4,11,8
GERRARD,135,4,12,8
GERRARD,135,4,13,6
GERRARD,135,4,14,6
GERRARD,135,4,15,8
GERRARD,135,4,16,8
GERRARD,135,4,17,6
GERRARD,135,4,18,6
GERRARD,135,4,19,8
GERRARD,135,4,20,8
GERRARD,135,4,21,8
GERRARD,135,4,22,8
GERRARD,135,4,23,8
GERRARD,135,4,24,8
GERRARD,135,4,25,5
GLENCAIRN,14,1,5,1
GLENCAIRN,14,1,6,6
GLENCAIRN,14,1,7,6
GLENCAIRN,14,1,8,7
GLENCAIRN,14,1,9,8
GLENCAIRN,14,1,10,6
GLENCAIRN,14,1,11,6
GLENCAIRN,14,1,12,8
GLENCAIRN,14,1,13,6
GLENCAIRN,14,1,14,7
GLENCAIRN,14,1,15,8
GLENCAIRN,14,1,16,9
GLENCAIRN,14,1,17,9
GLENCAIRN,14,1,18,8
GLENCAIRN,14,1,19,6
GLENCAIRN,14,1,20,6
GLENCAIRN,14,1,21,6
GLENCAIRN,14,1,22,5
GLENCAIRN,14,1,23,5
GLENCAIRN,14,1,24,5
GLENCAIRN,14,1,25,2
GLENCAIRN,14,2,5,1
GLENCAIRN,14,2,6,5
GLENCAIRN,14,2,7,6
GLENCAIRN,14,2,8,6
GLENCAIRN,14,2,9,6
GLENCAIRN,14,2,10,6
GLENCAIRN,14,2,11,6
GLENCAIRN,14,2,12,6
GLENCAIRN,14,2,13,6
GLENCAIRN,14,2,14,6
GLENCAIRN,14,2,15,6
GLENCAIRN,14,2,16,6
GLENCAIRN,14,2,17,6
GLENCAIRN,14,2,18,6
GLENCAIRN,14,2,19,6
GLENCAIRN,14,2,20,6
GLENCAIRN,14,2,21,6
GLENCAIRN,14,2,22,6
GLENCAIRN,14,2,23,7
GLENCAIRN,14,2,24,5
GLENCAIRN,14,2,25,2
GLENCAIRN,14,3,7,2
GLENCAIRN,14,3,8,6
GLENCAIRN,14,3,9,5
GLENCAIRN,14,3,10,5
GLENCAIRN,14,3,11,6
GLENCAIRN,14,3,12,7
GLENCAIRN,14,3,13,8
GLENCAIRN,14,3,14,8
GLENCAIRN,14,3,15,8
GLENCAIRN,14,3,16,8
GLENCAIRN,14,3,17,8
GLENCAIRN,14,3,18,7
GLENCAIRN,14,3,19,8
GLENCAIRN,14,3,20,8
GLENCAIRN,14,3,21,8
GLENCAIRN,14,3,22,6
GLENCAIRN,14,3,23,6
GLENCAIRN,14,3,24,6
GLENCAIRN,14,3,25,3
GLENCAIRN,14,4,5,2
GLENCAIRN,14,4,6,6
GLENCAIRN,14,4,7,6
GLENCAIRN,14,4,8,5
GLENCAIRN,14,4,9,5
GLENCAIRN,14,4,10,5
GLENCAIRN,14,4,11,6
GLENCAIRN,14,4,12,7
GLENCAIRN,14,4,13,8
GLENCAIRN,14,4,14,8
GLENCAIRN,14,4,15,8
GLENCAIRN,14,4,16,8
GLENCAIRN,14,4,17,8
GLENCAIRN,14,4,18,7
GLENCAIRN,14,4,19,8
GLENCAIRN,14,4,20,8
GLENCAIRN,14,4,21,8
GLENCAIRN,14,4,22,6
GLENCAIRN,14,4,23,6
GLENCAIRN,14,4,24,6
GLENCAIRN,14,4,25,3
ETOBICOKE-BLOOR,149,1,5,2
ETOBICOKE-BLOOR,149,1,6,6
ETOBICOKE-BLOOR,149,1,7,6
ETOBICOKE-BLOOR,149,1,8,7
ETOBICOKE-BLOOR,149,1,9,7
ETOBICOKE-BLOOR,149,1,10,8
ETOBICOKE-BLOOR,149,1,11,7
ETOBICOKE-BLOOR,149,1,12,7
ETOBICOKE-BLOOR,149,1,13,7
ETOBICOKE-BLOOR,149,1,14,7
ETOBICOKE-BLOOR,149,1,15,7
ETOBICOKE-BLOOR,149,1,16,6
ETOBICOKE-BLOOR,149,1,17,6
ETOBICOKE-BLOOR,149,1,18,6
ETOBICOKE-BLOOR,149,1,19,7
ETOBICOKE-BLOOR,149,1,20,6
ETOBICOKE-BLOOR,149,1,21,7
ETOBICOKE-BLOOR,149,1,22,6
ETOBICOKE-BLOOR,149,1,23,5
ETOBICOKE-BLOOR,149,1,24,5
ETOBICOKE-BLOOR,149,1,25,4
ETOBICOKE-BLOOR,149,2,5,2
ETOBICOKE-BLOOR,149,2,6,6
ETOBICOKE-BLOOR,149,2,7,8
ETOBICOKE-BLOOR,149,2,8,6
ETOBICOKE-BLOOR,149,2,9,7
ETOBICOKE-BLOOR,149,2,10,8
ETOBICOKE-BLOOR,149,2,11,6
ETOBICOKE-BLOOR,149,2,12,7
ETOBICOKE-BLOOR,149,2,13,6
ETOBICOKE-BLOOR,149,2,14,6
ETOBICOKE-BLOOR,149,2,15,6
ETOBICOKE-BLOOR,149,2,16,6
ETOBICOKE-BLOOR,149,2,17,6
ETOBICOKE-BLOOR,149,2,18,6
ETOBICOKE-BLOOR,149,2,19,6
ETOBICOKE-BLOOR,149,2,20,6
ETOBICOKE-BLOOR,149,2,21,6
ETOBICOKE-BLOOR,149,2,22,6
ETOBICOKE-BLOOR,149,2,23,5
ETOBICOKE-BLOOR,149,2,24,5
ETOBICOKE-BLOOR,149,2,25,4
ETOBICOKE-BLOOR,149,3,7,1
ETOBICOKE-BLOOR,149,3,8,5
ETOBICOKE-BLOOR,149,3,9,7
ETOBICOKE-BLOOR,149,3,10,8
ETOBICOKE-BLOOR,149,3,11,6
ETOBICOKE-BLOOR,149,3,12,7
ETOBICOKE-BLOOR,149,3,13,6
ETOBICOKE-BLOOR,149,3,14,6
ETOBICOKE-BLOOR,149,3,15,6
ETOBICOKE-BLOOR,149,3,16,6
ETOBICOKE-BLOOR,149,3,17,6
ETOBICOKE-BLOOR,149,3,18,6
ETOBICOKE-BLOOR,149,3,19,6
ETOBICOKE-BLOOR,149,3,20,6
ETOBICOKE-BLOOR,149,3,21,6
ETOBICOKE-BLOOR,149,3,22,7
ETOBICOKE-BLOOR,149,3,23,6
ETOBICOKE-BLOOR,149,3,24,6
ETOBICOKE-BLOOR,149,3,25,5
ETOBICOKE-BLOOR,149,4,5,2
ETOBICOKE-BLOOR,149,4,6,6
ETOBICOKE-BLOOR,149,4,7,7
ETOBICOKE-BLOOR,149,4,8,6
ETOBICOKE-BLOOR,149,4,9,6
ETOBICOKE-BLOOR,149,4,10,8
ETOBICOKE-BLOOR,149,4,11,7
ETOBICOKE-BLOOR,149,4,12,6
ETOBICOKE-BLOOR,149,4,13,6
ETOBICOKE-BLOOR,149,4,14,6
ETOBICOKE-BLOOR,149,4,15,6
ETOBICOKE-BLOOR,149,4,16,6
ETOBICOKE-BLOOR,149,4,17,6
ETOBICOKE-BLOOR,149,4,18,6
ETOBICOKE-BLOOR,149,4,19,6
ETOBICOKE-BLOOR,149,4,20,6
ETOBICOKE-BLOOR,149,4,21,6
ETOBICOKE-BLOOR,149,4,22,6
ETOBICOKE-BLOOR,149,4,23,7
ETOBICOKE-BLOOR,149,4,24,6
ETOBICOKE-BLOOR,149,4,25,5
EVANS,15,1,5,3
EVANS,15,1,6,8
EVANS,15,1,7,7
EVANS,15,1,8,8
EVANS,15,1,9,8
EVANS,15,1,10,6
EVANS,15,1,11,6
EVANS,15,1,12,6
EVANS,15,1,13,6
EVANS,15,1,14,8
EVANS,15,1,15,10
EVANS,15,1,16,10
EVANS,15,1,17,12
EVANS,15,1,18,12
EVANS,15,1,19,8
EVANS,15,1,20,6
EVANS,15,1,21,6
EVANS,15,1,22,6
EVANS,15,1,23,5
EVANS,15,1,24,5
EVANS,15,1,25,4
EVANS,15,2,5,3
EVANS,15,2,6,6
EVANS,15,2,7,6
EVANS,15,2,8,7
EVANS,15,2,9,6
EVANS,15,2,10,8
EVANS,15,2,11,6
EVANS,15,2,12,6
EVANS,15,2,13,6
EVANS,15,2,14,6
EVANS,15,2,15,6
EVANS,15,2,16,6
EVANS,15,2,17,6
EVANS,15,2,18,6
EVANS,15,2,19,6
EVANS,15,2,20,6
EVANS,15,2,21,6
EVANS,15,2,22,6
EVANS,15,2,23,5
EVANS,15,2,24,5
EVANS,15,2,25,4
EVANS,15,3,7,1
EVANS,15,3,8,5
EVANS,15,3,9,5
EVANS,15,3,10,5
EVANS,15,3,11,5
EVANS,15,3,12,6
EVANS,15,3,13,6
EVANS,15,3,14,6
EVANS,15,3,15,6
EVANS,15,3,16,6
EVANS,15,3,17,8
EVANS,15,3,18,6
EVANS,15,3,19,6
EVANS,15,3,20,6
EVANS,15,3,21,6
EVANS,15,3,22,6
EVANS,15,3,23,5
EVANS,15,3,24,5
EVANS,15,3,25,4
EVANS,15,4,5,3
EVANS,15,4,6,6
EVANS,15,4,7,5
EVANS,15,4,8,5
EVANS,15,4,9,5
EVANS,15,4,10,5
EVANS,15,4,11,5
EVANS,15,4,12,6
EVANS,15,4,13,6
EVANS,15,4,14,6
EVANS,15,4,15,6
EVANS,15,4,16,6
EVANS,15,4,17,8
EVANS,15,4,18,6
EVANS,15,4,19,6
EVANS,15,4,20,6
EVANS,15,4,21,6
EVANS,15,4,22,6
EVANS,15,4,23,5
EVANS,15,4,24,5
EVANS,15,4,25,4
CURRAN HALL,154,1,4,1
CURRAN HALL,154,1,5,7
CURRAN HALL,154,1,6,8
CURRAN HALL,154,1,7,7
CURRAN HALL,154,1,8,8
CURRAN HALL,154,1,9,10
CURRAN HALL,154,1,10,9
CURRAN HALL,154,1,11,8
CURRAN HALL,154,1,12,10
CURRAN HALL,154,1,13,10
CURRAN HALL,154,1,14,8
CURRAN HALL,154,1,15,8
CURRAN HALL,154,1,16,10
CURRAN HALL,154,1,17,9
CURRAN HALL,154,1,18,8
CURRAN HALL,154,1,19,10
CURRAN HALL,154,1,20,10
CURRAN HALL,154,1,21,9
CURRAN HALL,154,1,22,8
CURRAN HALL,154,1,23,7
CURRAN HALL,154,1,24,7
CURRAN HALL,154,1,25,8
CURRAN HALL,154,1,26,6
CURRAN HALL,154,1,27,1
CURRAN HALL,154,2,5,4
CURRAN HALL,154,2,6,7
CURRAN HALL,154,2,7,7
CURRAN HALL,154,2,8,7
CURRAN HALL,154,2,9,8
CURRAN HALL,154,2,10,9
CURRAN HALL,154,2,11,9
CURRAN HALL,154,2,12,8
CURRAN HALL,154,2,13,9
CURRAN HALL,154,2,14,10
CURRAN HALL,154,2,15,8
CURRAN HALL,154,2,16,8
CURRAN HALL,154,2,17,10
CURRAN HALL,154,2,18,9
CURRAN HALL,154,2,19,8
CURRAN HALL,154,2,20,7
CURRAN HALL,154,2,21,8
CURRAN HALL,154,2,22,8
CURRAN HALL,154,2,23,7
CURRAN HALL,154,2,24,7
CURRAN HALL,154,2,25,7
CURRAN HALL,154,2,26,5
CURRAN HALL,154,2,27,1
CURRAN HALL,154,3,6,6
CURRAN HALL,154,3,7,8
CURRAN HALL,154,3,8,8
CURRAN HALL,154,3,9,8
CURRAN HALL,154,3,10,9
CURRAN HALL,154,3,11,9
CURRAN HALL,154,3,12,8
CURRAN HALL,154,3,13,8
CURRAN HALL,154,3,14,10
CURRAN HALL,154,3,15,9
CURRAN HALL,154,3,16,8
CURRAN HALL,154,3,17,9
CURRAN HALL,154,3,18,9
CURRAN HALL,154,3,19,8
CURRAN HALL,154,3,20,7
CURRAN HALL,154,3,21,8
CURRAN HALL,154,3,22,7
CURRAN HALL,154,3,23,7
CURRAN HALL,154,3,24,7
CURRAN HALL,154,3,25,7
CURRAN HALL,154,3,26,5
CURRAN HALL,154,3,27,1
CURRAN HALL,154,4,6,6
CURRAN HALL,154,4,7,8
CURRAN HALL,154,4,8,8
CURRAN HALL,154,4,9,8
CURRAN HALL,154,4,10,10
CURRAN HALL,154,4,11,9
CURRAN HALL,154,4,12,8
CURRAN HALL,154,4,13,8
CURRAN HALL,154,4,14,10
CURRAN HALL,154,4,15,8
CURRAN HALL,154,4,16,8
CURRAN HALL,154,4,17,9
CURRAN HALL,154,4,18,9
CURRAN HALL,154,4,19,8
CURRAN HALL,154,4,20,7
CURRAN HALL,154,4,21,8
CURRAN HALL,154,4,22,7
CURRAN HALL,154,4,23,7
CURRAN HALL,154,4,24,7
CURRAN HALL,154,4,25,7
CURRAN HALL,154,4,26,5
CURRAN HALL,154,4,27,1
MCCOWAN,16,1,5,8
MCCOWAN,16,1,6,14
MCCOWAN,16,1,7,16
MCCOWAN,16,1,8,18
MCCOWAN,16,1,9,19
MCCOWAN,16,1,10,18
MCCOWAN,16,1,11,18
MCCOWAN,16,1,12,18
MCCOWAN,16,1,13,18
MCCOWAN,16,1,14,18
MCCOWAN,16,1,15,18
MCCOWAN,16,1,16,18
MCCOWAN,16,1,17,18
MCCOWAN,16,1,18,18
MCCOWAN,16,1,19,18
MCCOWAN,16,1,20,18
MCCOWAN,16,1,21,18
MCCOWAN,16,1,22,12
MCCOWAN,16,1,23,8
MCCOWAN,16,1,24,8
MCCOWAN,16,1,25,7
MCCOWAN,16,1,26,3
MCCOWAN,16,2,5,5
MCCOWAN,16,2,6,13
MCCOWAN,16,2,7,14
MCCOWAN,16,2,8,13
MCCOWAN,16,2,9,14
MCCOWAN,16,2,10,14
MCCOWAN,16,2,11,14
MCCOWAN,16,2,12,16
MCCOWAN,16,2,13,18
MCCOWAN,16,2,14,18
MCCOWAN,16,2,15,18
MCCOWAN,16,2,16,18
MCCOWAN,16,2,17,18
MCCOWAN,16,2,18,18
MCCOWAN,16,2,19,18
MCCOWAN,16,2,20,18
MCCOWAN,16,2,21,18
MCCOWAN,16,2,22,14
MCCOWAN,16,2,23,10
MCCOWAN,16,2,24,10
MCCOWAN,16,2,25,7
MCCOWAN,16,2,26,3
MCCOWAN,16,3,7,4
MCCOWAN,16,3,8,12
MCCOWAN,16,3,9,14
MCCOWAN,16,3,10,14
MCCOWAN,16,3,11,15
MCCOWAN,16,3,12,16
MCCOWAN,16,3,13,18
MCCOWAN,16,3,14,18
MCCOWAN,16,3,15,18
MCCOWAN,16,3,16,18
MCCOWAN,16,3,17,18
MCCOWAN,16,3,18,18
MCCOWAN,16,3,19,16
MCCOWAN,16,3,20,14
MCCOWAN,16,3,21,14
MCCOWAN,16,3,22,12
MCCOWAN,16,3,23,9
MCCOWAN,16,3,24,9
MCCOWAN,16,3,25,7
MCCOWAN,16,3,26,3
MCCOWAN,16,4,5,6
MCCOWAN,16,4,6,12
MCCOWAN,16,4,7,12
MCCOWAN,16,4,8,14
MCCOWAN,16,4,9,14
MCCOWAN,16,4,10,14
MCCOWAN,16,4,11,15
MCCOWAN,16,4,12,16
MCCOWAN,16,4,13,18
MCCOWAN,16,4,14,18
MCCOWAN,16,4,15,18
MCCOWAN,16,4,16,18
MCCOWAN,16,4,17,18
MCCOWAN,16,4,18,18
MCCOWAN,16,4,19,16
MCCOWAN,16,4,20,14
MCCOWAN,16,4,21,14
MCCOWAN,16,4,22,12
MCCOWAN,16,4,23,9
MCCOWAN,16,4,24,9
MCCOWAN,16,4,25,7
MCCOWAN,16,4,26,3
BATHURST NORTH,160,1,5,2
BATHURST NORTH,160,1,6,8
BATHURST NORTH,160,1,7,10
BATHURST NORTH,160,1,8,10
BATHURST NORTH,160,1,9,10
BATHURST NORTH,160,1,10,10
BATHURST NORTH,160,1,11,7
BATHURST NORTH,160,1,12,8
BATHURST NORTH,160,1,13,7
BATHURST NORTH,160,1,14,9
BATHURST NORTH,160,1,15,8
BATHURST NORTH,160,1,16,8
BATHURST NORTH,160,1,17,9
BATHURST NORTH,160,1,18,8
BATHURST NORTH,160,1,19,11
BATHURST NORTH,160,1,20,9
BATHURST NORTH,160,1,21,7
BATHURST NORTH,160,1,22,3
BATHURST NORTH,160,2,5,3
BATHURST NORTH,160,2,6,4
BATHURST NORTH,160,2,7,6
BATHURST NORTH,160,2,8,5
BATHURST NORTH,160,2,9,5
BATHURST NORTH,160,2,10,6
BATHURST NORTH,160,2,11,5
BATHURST NORTH,160,2,12,5
BATHURST NORTH,160,2,13,6
BATHURST NORTH,160,2,14,5
BATHURST NORTH,160,2,15,5
BATHURST NORTH,160,2,16,6
BATHURST NORTH,160,2,17,4
BATHURST NORTH,160,2,18,4
BATHURST NORTH,160,2,19,1
BATHURST NORTH,160,3,8,2
BATHURST NORTH,160,3,9,5
BATHURST NORTH,160,3,10,6
BATHURST NORTH,160,3,11,5
BATHURST NORTH,160,3,12,5
BATHURST NORTH,160,3,13,6
BATHURST NORTH,160,3,14,5
BATHURST NORTH,160,3,15,5
BATHURST NORTH,160,3,16,6
BATHURST NORTH,160,3,17,4
BATHURST NORTH,160,3,18,4
BATHURST NORTH,160,3,19,1
BATHURST NORTH,160,4,8,2
BATHURST NORTH,160,4,9,5
BATHURST NORTH,160,4,10,6
BATHURST NORTH,160,4,11,5
BATHURST NORTH,160,4,12,5
BATHURST NORTH,160,4,13,6
BATHURST NORTH,160,4,14,5
BATHURST NORTH,160,4,15,5
BATHURST NORTH,160,4,16,6
BATHURST NORTH,160,4,17,4
BATHURST NORTH,160,4,18,4
BATHURST NORTH,160,4,19,1
ROGERS RD,161,1,5,6
ROGERS RD,161,1,6,12
ROGERS RD,161,1,7,13
ROGERS RD,161,1,8,13
ROGERS RD,161,1,9,11
ROGERS RD,161,1,10,9
ROGERS RD,161,1,11,8
ROGERS RD,161,1,12,8
ROGERS RD,161,1,13,9
ROGERS RD,161,1,14,11
ROGERS RD,161,1,15,13
ROGERS RD,161,1,16,13
ROGERS RD,161,1,17,13
ROGERS RD,161,1,18,13
ROGERS RD,161,1,19,13
ROGERS RD,161,1,20,9
ROGERS RD,161,1,21,9
ROGERS RD,161,1,22,9
ROGERS RD,161,1,23,9
ROGERS RD,161,1,24,7
ROGERS RD,161,1,25,3
ROGERS RD,161,2,5,3
ROGERS RD,161,2,6,7
ROGERS RD,161,2,7,8
ROGERS RD,161,2,8,8
ROGERS RD,161,2,9,8
ROGERS RD,161,2,10,8
ROGERS RD,161,2,11,9
ROGERS RD,161,2,12,10
ROGERS RD,161,2,13,10
ROGERS RD,161,2,14,11
ROGERS RD,161,2,15,11
ROGERS RD,161,2,16,10
ROGERS RD,161,2,17,11
ROGERS RD,161,2,18,11
ROGERS RD,161,2,19,12
ROGERS RD,161,2,20,9
ROGERS RD,161,2,21,9
ROGERS RD,161,2,22,9
ROGERS RD,161,2,23,9
ROGERS RD,161,2,24,7
ROGERS RD,161,2,25,3
ROGERS RD,161,3,5,3
ROGERS RD,161,3,6,7
ROGERS RD,161,3,7,8
ROGERS RD,161,3,8,10
ROGERS RD,161,3,9,8
ROGERS RD,161,3,10,8
ROGERS RD,161,3,11,8
ROGERS RD,161,3,12,8
ROGERS RD,161,3,13,8
ROGERS RD,161,3,14,8
ROGERS RD,161,3,15,8
ROGERS RD,161,3,16,8
ROGERS RD,161,3,17,9
ROGERS RD,161,3,18,9
ROGERS RD,161,3,19,9
ROGERS RD,161,3,20,9
ROGERS RD,161,3,21,9
ROGERS RD,161,3,22,9
ROGERS RD,161,3,23,8
ROGERS RD,161,3,24,6
ROGERS RD,161,3,25,2
ROGERS RD,161,4,5,3
ROGERS RD,161,4,6,7
ROGERS RD,161,4,7,8
ROGERS RD,161,4,8,9
ROGERS RD,161,4,9,8
ROGERS RD,161,4,10,8
ROGERS RD,161,4,11,8
ROGERS RD,161,4,12,8
ROGERS RD,161,4,13,8
ROGERS RD,161,4,14,8
ROGERS RD,161,4,15,8
ROGERS RD,161,4,16,8
ROGERS RD,161,4,17,9
ROGERS RD,161,4,18,9
ROGERS RD,161,4,19,9
ROGERS RD,161,4,20,9
ROGERS RD,161,4,21,9
ROGERS RD,161,4,22,9
ROGERS RD,161,4,23,8
ROGERS RD,161,4,24,6
ROGERS RD,161,4,25,2
ROGERS RD,161,401,14,1
ROGERS RD,161,401,15,1
LAWRENCE-DONWAY,162,1,6,4
LAWRENCE-DONWAY,162,1,7,5
LAWRENCE-DONWAY,162,1,8,5
LAWRENCE-DONWAY,162,1,9,5
LAWRENCE-DONWAY,162,1,10,5
LAWRENCE-DONWAY,162,1,11,5
LAWRENCE-DONWAY,162,1,12,5
LAWRENCE-DONWAY,162,1,13,5
LAWRENCE-DONWAY,162,1,14,5
LAWRENCE-DONWAY,162,1,15,5
LAWRENCE-DONWAY,162,1,16,5
LAWRENCE-DONWAY,162,1,17,5
LAWRENCE-DONWAY,162,1,18,5
LAWRENCE-DONWAY,162,1,19,5
LAWRENCE-DONWAY,162,1,20,5
LAWRENCE-DONWAY,162,1,21,5
LAWRENCE-DONWAY,162,1,22,3
LAWRENCE-DONWAY,162,2,6,4
LAWRENCE-DONWAY,162,2,7,5
LAWRENCE-DONWAY,162,2,8,5
LAWRENCE-DONWAY,162,2,9,5
LAWRENCE-DONWAY,162,2,10,5
LAWRENCE-DONWAY,162,2,11,5
LAWRENCE-DONWAY,162,2,12,5
LAWRENCE-DONWAY,162,2,13,5
LAWRENCE-DONWAY,162,2,14,5
LAWRENCE-DONWAY,162,2,15,5
LAWRENCE-DONWAY,162,2,16,5
LAWRENCE-DONWAY,162,2,17,5
LAWRENCE-DONWAY,162,2,18,5
LAWRENCE-DONWAY,162,2,19,5
LAWRENCE-DONWAY,162,2,20,5
LAWRENCE-DONWAY,162,2,21,5
LAWRENCE-DONWAY,162,2,22,3
LAWRENCE-DONWAY,162,3,7,4
LAWRENCE-DONWAY,162,3,8,5
LAWRENCE-DONWAY,162,3,9,5
LAWRENCE-DONWAY,162,3,10,5
LAWRENCE-DONWAY,162,3,11,5
LAWRENCE-DONWAY,162,3,12,5
LAWRENCE-DONWAY,162,3,13,5
LAWRENCE-DONWAY,162,3,14,5
LAWRENCE-DONWAY,162,3,15,5
LAWRENCE-DONWAY,162,3,16,5
LAWRENCE-DONWAY,162,3,17,5
LAWRENCE-DONWAY,162,3,18,5
LAWRENCE-DONWAY,162,3,19,3
LAWRENCE-DONWAY,162,4,6,4
LAWRENCE-DONWAY,162,4,7,5
LAWRENCE-DONWAY,162,4,8,5
LAWRENCE-DONWAY,162,4,9,5
LAWRENCE-DONWAY,162,4,10,5
LAWRENCE-DONWAY,162,4,11,5
LAWRENCE-DONWAY,162,4,12,5
LAWRENCE-DONWAY,162,4,13,5
LAWRENCE-DONWAY,162,4,14,5
LAWRENCE-DONWAY,162,4,15,5
LAWRENCE-DONWAY,162,4,16,5
LAWRENCE-DONWAY,162,4,17,5
LAWRENCE-DONWAY,162,4,18,5
LAWRENCE-DONWAY,162,4,19,3
CASTLEFIELD,164,1,5,4
CASTLEFIELD,164,1,6,6
CASTLEFIELD,164,1,7,7
CASTLEFIELD,164,1,8,8
CASTLEFIELD,164,1,9,6
CASTLEFIELD,164,1,10,4
CASTLEFIELD,164,1,11,4
CASTLEFIELD,164,1,12,4
CASTLEFIELD,164,1,13,4
CASTLEFIELD,164,1,14,5
CASTLEFIELD,164,1,15,6
CASTLEFIELD,164,1,16,7
CASTLEFIELD,164,1,17,8
CASTLEFIELD,164,1,18,7
CASTLEFIELD,164,1,19,6
CASTLEFIELD,164,1,20,5
CASTLEFIELD,164,1,21,4
CASTLEFIELD,164,1,22,6
CASTLEFIELD,164,1,23,6
CASTLEFIELD,164,1,24,6
CASTLEFIELD,164,1,25,2
CASTLEFIELD,164,2,5,2
CASTLEFIELD,164,2,6,4
CASTLEFIELD,164,2,7,4
CASTLEFIELD,164,2,8,4
CASTLEFIELD,164,2,9,4
CASTLEFIELD,164,2,10,4
CASTLEFIELD,164,2,11,4
CASTLEFIELD,164,2,12,4
CASTLEFIELD,164,2,13,4
CASTLEFIELD,164,2,14,4
CASTLEFIELD,164,2,15,4
CASTLEFIELD,164,2,16,4
CASTLEFIELD,164,2,17,4
CASTLEFIELD,164,2,18,4
CASTLEFIELD,164,2,19,4
CASTLEFIELD,164,2,20,4
CASTLEFIELD,164,2,21,4
CASTLEFIELD,164,2,22,6
CASTLEFIELD,164,2,23,6
CASTLEFIELD,164,2,24,6
CASTLEFIELD,164,2,25,3
CASTLEFIELD,164,3,6,1
CASTLEFIELD,164,3,7,5
CASTLEFIELD,164,3,8,6
CASTLEFIELD,164,3,9,8
CASTLEFIELD,164,3,10,6
CASTLEFIELD,164,3,11,6
CASTLEFIELD,164,3,12,5
CASTLEFIELD,164,3,13,4
CASTLEFIELD,164,3,14,4
CASTLEFIELD,164,3,15,4
CASTLEFIELD,164,3,16,4
CASTLEFIELD,164,3,17,4
CASTLEFIELD,164,3,18,4
CASTLEFIELD,164,3,19,4
CASTLEFIELD,164,3,20,6
CASTLEFIELD,164,3,21,6
CASTLEFIELD,164,3,22,8
CASTLEFIELD,164,3,23,6
CASTLEFIELD,164,3,24,6
CASTLEFIELD,164,3,25,2
CASTLEFIELD,164,4,5,1
CASTLEFIELD,164,4,6,4
CASTLEFIELD,164,4,7,6
CASTLEFIELD,164,4,8,6
CASTLEFIELD,164,4,9,8
